SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Single Family Residential,213 NW G St,Bentonville,AR,72712,1600000,5,4.5,Baldwin,3685,12196,2011,90,434,,Active,,,https://www.redfin.com/AR/Bentonville/213-NW-G-St-72712/home/116090820,NWARMLS,1237948,N,Y,36.3749365,-94.2194599
MLS Listing,,Single Family Residential,308 SE B St,Bentonville,AR,72712,995000,4,1.0,Railroad Add Bentonville,1664,14810,,95,598,,Active,,,https://www.redfin.com/AR/Bentonville/308-SE-B-St-72712/home/116012826,NWARMLS,1236347,N,Y,36.3685451,-94.2066487
MLS Listing,,Single Family Residential,3509 Awakening Ave,Bentonville,AR,72713,619900,2,2.5,Aurora Sub Ph 2 Bentonville,2287,4356,2023,96,271,,Active,May-18-2023 03:00 PM,May-18-2023 07:00 PM,https://www.redfin.com/AR/Bentonville/3509-SW-Awakening-Ave-72713/home/181979705,NWARMLS,1238658,N,Y,36.308302,-94.251487
MLS Listing,,Single Family Residential,3409 Awakening Ave,Bentonville,AR,72713,729000,3,3.5,Aurora Sub Ph 2 Bentonville,2718,3920,2023,96,268,,Active,May-18-2023 03:00 PM,May-18-2023 07:00 PM,https://www.redfin.com/AR/Bentonville/3409-SW-Awakening-Ave-72713/home/181979699,NWARMLS,1238641,N,Y,36.3080286,-94.250946
MLS Listing,,Single Family Residential,3405 Awakening Ave,Bentonville,AR,72713,617900,2,2.5,Aurora Sub Ph 2 Bentonville,2276,4356,2023,96,271,,Active,May-18-2023 03:00 PM,May-18-2023 07:00 PM,https://www.redfin.com/AR/Bentonville/3405-SW-Awakening-Ave-72713/home/181979701,NWARMLS,1238649,N,Y,36.308045,-94.250581
MLS Listing,,Single Family Residential,6304 SW Prism Path St,Bentonville,AR,72713,474900,4,3.5,Aurora,2623,6098,2023,96,181,140,Active,May-16-2023 03:00 PM,May-16-2023 06:00 PM,https://www.redfin.com/AR/Bentonville/6304-SW-Prism-Path-St-72713/home/181979414,NWARMLS,1238010,N,Y,36.312078,-94.252956
MLS Listing,,Single Family Residential,1101 Riverside Dr,Centerton,AR,72712,350500,4,2.0,Hilldale Sub Centerton,1905,7840,2023,97,184,8,Active,,,https://www.redfin.com/AR/Bentonville/1101-Riverside-Dr-72713/home/176839831,NWARMLS,1238657,N,Y,36.342636,-94.289116
MLS Listing,,Single Family Residential,2401 SW Poppy St,Bentonville,AR,72713,389610,4,2.5,GLEN ARBOR SUB-BENTONVILLE,1998,4791,2023,98,195,100,Active,,,https://www.redfin.com/AR/Bentonville/2401-SW-Poppy-St-72713/home/181979779,NWARMLS,1238027,N,Y,36.347919,-94.243882
MLS Listing,,Single Family Residential,304 SW Bordeaux Ct,Bentonville,AR,72712,510000,3,3.5,Chardonnay Sub,2692,8276,2005,100,189,,Active,,,https://www.redfin.com/AR/Bentonville/304-SW-Bordeaux-Ct-72712/home/115709944,NWARMLS,1236714,N,Y,36.3693513,-94.2496184
MLS Listing,,Single Family Residential,101 NW Ozark Way,Bentonville,AR,72712,975000,4,3.0,OZ Village,2062,2657,2022,102,473,250,Active,,,https://www.redfin.com/AR/Bentonville/101-NW-Ozark-Way-72712/home/183977512,NWARMLS,1237696,N,Y,36.381517,-94.2094137
MLS Listing,,Single Family Residential,2308 NE Steinbeck Dr,Bentonville,AR,72712,739500,5,4.5,Grammercy Park Sub Ph 1 Bentonville,3480,11325,2023,109,213,38,Active,,,https://www.redfin.com/AR/Bentonville/2308-Ne-Steinbeck-Dr-72712/home/116341832,NWARMLS,1237708,N,Y,36.394038,-94.175924
MLS Listing,,Single Family Residential,837 SE 5th St,Bentonville,AR,72712,1595000,4,4.0,East Side 3rd Add Bentonville,4200,6098,2023,113,380,,Active,,,https://www.redfin.com/AR/Bentonville/837-Se-5th-St-72712/home/143771434,NWARMLS,1237448,N,Y,36.367877,-94.19929
MLS Listing,,Single Family Residential,981 Pink Lady Pl,Centerton,AR,72712,359138,3,2.0,The Pines at Orchard Park,1950,7840,2023,117,184,17,Active,,,https://www.redfin.com/AR/Bentonville/981-Pink-Lady-Pl-72712/home/184422929,NWARMLS,1230343,N,Y,36.392662,-94.294962
MLS Listing,,Single Family Residential,5802 SW Macasin Ave,Bentonville,AR,72713,395900,4,2.0,Osage Hills,2034,9147,2023,118,195,,Active,May-21-2023 01:00 PM,May-21-2023 04:00 PM,https://www.redfin.com/AR/Bentonville/5802-SW-Macasin-Ave-72713/home/181979837,NWARMLS,1237017,N,Y,36.331442,-94.278086
MLS Listing,,Single Family Residential,5902 SW Gentle Winds Ave,Bentonville,AR,72713,395900,4,2.0,Osage Hills Sub Ph 1 Bentonville,2034,7405,2023,126,195,,Active,May-21-2023 01:00 PM,May-21-2023 04:00 PM,https://www.redfin.com/AR/Bentonville/5902-SW-Gentle-Winds-Ave-72713/home/181979651,NWARMLS,1236598,N,Y,36.330046,-94.278846
MLS Listing,,Single Family Residential,940 NW B St,Bentonville,AR,72712,1300000,4,3.0,Fountain Park Rplt Park Sp Bentonville,2231,17859,1980,127,583,,Active,,,https://www.redfin.com/AR/Bentonville/940-NW-B-St-72712/home/115474499,NWARMLS,1236027,N,Y,36.383647,-94.2108121
MLS Listing,,Single Family Residential,9560 River Oaks Dr,Bentonville,AR,72712,869000,3,2.5,River Oaks Estates,3786,217800,2000,139,230,,Active,,,https://www.redfin.com/AR/Bentonville/9560-River-Oaks-Dr-72712/home/115289312,NWARMLS,1235722,N,Y,36.4105079,-94.1707141
